idclient,offre,score,qe 
1,developpeur python,5,python flask ml ia 
2,developeur web,4,react java script 
3,developeur mobile,5,react native java 
4,developeur backend,3,node js mongodb
5,developeur angular,5,angular
6,developeur java,3,bon competence java 
7,developeur vue js,2,html css java javascript
8,developeur web mobile,4,cloud react javascript
9,developeur php,3,competence php
10,big data Data Science,2,studio android java
11,development,3,ui ux photoshop
12,developeur web,5,css react angular
13,developeur web mobile,4, francais react node js anglais angular
14,informatique,1,php mysql html
15,développement web et applications mobiles,5,odoo python mysql
16,Business développement et Marketing Digital,4,autonome BI IA 
17,Devops Engineer,1,agile devops anglais
18,developeur web,3,larvel html css bootstrap
19,développons des applications et des solutions digitales,4,flutter react native android ios mobile
20,Développeur Web Full stack,5,html css javascript nodejs mongodb
21, développeur mobile React Native ,3,react-native android ios
22,Développeur Full Stack,2,vue react laravel php mysql
23,Lead Backend Engineer(Python),3,aws devops python django
24,Java Software Engineer,5,mqtt mongodb rabbitmq activemq jms
25,network Engineer,4,aws devops Python
26,developeur frontend,5,html css js bootstrap
27,technical IT ,3, node mongodb oracl       
28, developeur backend,5,node js mongodb postman 
29,developeur mobile,5,mobile androidstudio cordova  
34,Consultant Intégrateur,2,php assurance angular
35,Graphic Design Internship,5,graphicdesign photoshop illustrator
36,développeur mobile React Native,3,android
37,développeur mobile React Native,3,ios
38,react,3,react html css
39,marketing,2,englais
40,java,5,java 
41,Administrateur Systèmes et Réseaux,2,Administrer et gérer le réseau et le parc informatique
42,Analyste Cybersécurité,3,Une bonne connaissance des solutions EDR/XDR et SIEM serait un plus
43,Comptabilité Française,4,Comptabilité Comptable Gestion
44,Superviseur Centre de Contact Client,3,Gérer les Appels Emails Fax entrants sortants et internes
45,Directeur Maintenance,2,englais francais




























